item,n_i
2229,161
2230,144
2231,593
2232,158
2233,559
2234,112
2235,695
2236,72
2237,73
2238,2113
2239,23
2240,498
2241,985
2242,438
2243,1114
2244,27
2245,672
2246,742
2247,195
2248,550
2249,67
2250,527
2251,92
2252,266
2253,32
2254,669
2255,229
2256,441
2257,138
2258,345
2259,88
2260,762
2261,223
2262,50
2263,160
2264,226
2265,64
2266,78
2267,273
2268,274
2269,531
2270,155
2271,475
2272,1616
2273,209
2274,374
2275,50
2276,38
2277,566
2278,53
2279,98
2280,271
2281,463
2282,28
2283,219
2284,370
2285,111
2286,411
2287,722
2288,904
2289,226
2290,185
2291,141
2292,224
2293,247
2294,212
2295,190
2296,78
2297,286
2298,284
2299,32
2300,120
2301,886
2302,288
2303,131
2304,774
2305,129
2306,259
2307,159
2308,292
2309,227
2310,1141
2311,43
2312,359
2313,69
2314,94
2315,85
2316,302
2317,259
2318,268
2319,451
2320,818
2321,809
2322,236
2323,394
2324,134
2325,622
2326,131
2327,118
2328,83
2329,53
2330,117
2331,490
2332,177
2333,288
2334,304
2335,247
2336,301
2337,95
2338,266
2339,119
2340,925
2341,31
2342,667
2343,174
2344,129
2345,81
2346,293
2347,155
2348,308
2349,96
2350,684
2351,547
2352,1523
2353,266
2354,411
2355,626
2356,226
2357,533
2358,523
2359,252
2360,55
2361,537
2362,23
2363,25
2364,779
2365,141
2366,205
2367,583
2368,191
2369,119
2370,410
2371,174
2372,84
2373,699
2374,70
2375,274
2376,48
2377,636
2378,224
2379,161
2380,271
2381,187
2382,153
2383,1944
2384,199
2385,211
2386,577
2387,368
2388,59
2389,363
2390,742
2391,51
2392,59
2393,269
2394,400
2395,626
2396,367
2397,291
2398,334
2399,210
2400,285
2401,404
2402,74
2403,325
2404,313
2405,534
2406,636
2407,158
2408,226
2409,343
2410,986
2411,137
2412,1317
2413,99
2414,181
2415,516
2416,107
2417,1139
2418,795
2419,373
2420,100
2421,765
2422,369
2423,524
2424,53
2425,20
2426,251
2427,849
2428,82
2429,95
2430,32
2431,283
2432,108
2433,483
2434,646
2435,151
2436,491
2437,85
2438,184
2439,227
2440,282
2441,268
2442,143
2443,247
2444,229
2445,1290
2446,160
2447,89
2448,235
2449,172
2450,909
2451,424
2452,235
2453,509
2454,669
2455,208
2456,291
2457,93
2458,248
2459,212
2460,212
2461,135
2462,132
2463,86
2464,927
2465,352
2466,131
2467,997
2468,222
2469,323
2470,158
2471,87
2472,234
2473,587
2474,208
2475,376
2476,83
2477,184
2478,499
2479,145
2480,17
2481,247
2482,238
2483,539
2484,489
2485,346
2486,223
2487,75
2488,815
2489,242
2490,294
2491,7
2492,117
2493,842
2494,168
2495,15
2496,856
2497,386
2498,170
2499,25
2500,989
2501,106
2502,177
2503,122
2504,172
2505,404
2506,307
2507,24
2508,128
2509,865
2510,45
2511,46
2512,310
2513,438
2514,10
2515,86
2516,65
2517,411
2518,266
2519,95
2520,66
2521,121
2522,444
2523,213
2524,85
2525,160
2526,260
2527,138
2528,306
2529,187
2530,422
2531,39
2532,29
2533,111
2534,509
2535,135
2536,689
2537,232
2538,222
2539,42
2540,309
2541,608
2542,151
2543,622
2544,253
2545,125
2546,458
2547,569
2548,37
2549,235
2550,365
2551,149
2552,11
2553,254
2554,39
2555,239
2556,139
2557,165
2558,106
2559,357
2560,21
2561,159
2562,146
2563,135
2564,501
2565,430
2566,13
2567,251
2568,660
2569,192
2570,824
2571,157
2572,282
2573,271
2574,21
2575,172
2576,209
2577,129
2578,155
2579,18
2580,178
2581,8
2582,153
2583,156
2584,133
2585,282
2586,128
2587,329
2588,811
2589,49
2590,270
2591,291
2592,189
2593,38
2594,488
2595,102
2596,11
2597,418
2598,88
2599,347
2600,650
2601,574
2602,114
2603,495
2604,204
2605,38
2606,296
2607,239
2608,18
2609,103
2610,244
2611,247
2612,93
2613,413
2614,122
2615,301
2616,1132
2617,879
2618,432
2619,75
2620,265
2621,200
2622,140
2623,39
2624,106
2625,149
2626,235
2627,349
2628,34
2629,88
2630,323
2631,162
2632,332
2633,85
2634,850
2635,69
2636,514
2637,34
2638,58
2639,5
2640,456
2641,157
2642,170
2643,133
2644,50
2645,156
2646,22
2647,790
2648,586
2649,105
2650,58
2651,8
2652,450
2653,741
2654,469
2655,119
2656,131
2657,227
2658,163
2659,477
2660,97
2661,736
2662,809
2663,424
2664,205
2665,295
2666,360
2667,260
2668,89
2669,56
2670,44
2671,184
2672,196
2673,79
2674,526
2675,18
2676,489
2677,445
2678,171
2679,315
2680,254
2681,839
2682,326
2683,304
2684,683
2685,286
2686,151
2687,731
2688,389
2689,160
2690,445
2691,39
2692,131
2693,705
2694,352
2695,144
2696,1957
2697,428
2698,1081
2699,167
2700,197
2701,224
2702,320
2703,139
2704,22
2705,102
2706,99
2707,148
2708,892
2709,87
2710,218
2711,163
2712,607
2713,81
2714,245
2715,223
2716,277
2717,700
2718,190
2719,86
2720,14
2721,76
2722,823
2723,264
2724,239
2725,4
2726,141
2727,81
2728,320
2729,256
2730,201
2731,872
2732,326
2733,74
2734,145
2735,250
2736,319
2737,163
2738,275
2739,466
2740,871
2741,336
2742,252
2743,219
2744,139
2745,243
2746,154
2747,212
2748,986
2749,51
2750,86
2751,210
2752,773
2753,133
2754,188
2755,43
2756,89
2757,147
2758,1092
2759,214
2760,126
2761,127
2762,222
2763,121
2764,119
2765,241
2766,46
2767,313
2768,17
2769,285
2770,247
2771,257
2772,277
2773,218
2774,203
2775,631
2776,12
2777,723
2778,273
2779,730
2780,78
2781,276
2782,196
2783,222
2784,341
2785,143
2786,59
2787,1089
2788,110
2789,1061
2790,134
2791,1075
2792,322
2793,215
2794,528
2795,49
2796,124
2797,65
2798,122
2799,48
2800,141
2801,107
2802,167
2803,167
2804,435
2805,406
2806,32
2807,179
2808,190
2809,435
2810,286
2811,975
2812,13
2813,170
2814,337
2815,182
2816,60
2817,243
2818,308
2819,715
2820,489
2821,186
2822,132
2823,286
2824,228
2825,33
2826,126
2827,248
2828,108
2829,423
2830,50
2831,178
2832,145
2833,100
2834,196
2835,463
2836,13
2837,333
2838,26
2839,114
2840,19
2841,225
2842,299
2843,361
2844,255
2845,151
2846,236
2847,310
2848,362
2849,115
2850,506
2851,161
2852,136
2853,104
2854,627
2855,98
2856,364
2857,515
2858,371
2859,72
2860,238
2861,46
2862,69
2863,37
2864,82
2865,563
2866,84
2867,210
2868,407
2869,253
2870,114
2871,281
2872,8
2873,102
2874,272
2875,196
2876,522
2877,485
2878,158
2879,852
2880,68
2881,61
2882,1072
2883,479
2884,195
2885,89
2886,142
2887,65
2888,234
2889,36
2890,1323
2891,58
2892,553
2893,695
2894,57
2895,242
2896,174
2897,903
2898,503
2899,27
2900,348
2901,753
2902,18
2903,783
2904,121
2905,117
2906,51
2907,30
2908,513
2909,127
2910,582
2911,411
2912,272
2913,114
2914,54
2915,217
2916,156
2917,371
